DATE1, DATE2, X, Y, Z,
2456385.125000000, A.D. 2013-Apr-02 15:00:00.0000,  3.948217325450431E+04, -2.417695293525062E+05, -2.564980928286446E+05,
2456385.166666667, A.D. 2013-Apr-02 16:00:00.0000,  2.576912527325680E+04, -2.482245097980528E+05, -2.520379834247643E+05,
2456385.208333333, A.D. 2013-Apr-02 17:00:00.0000,  1.200495353225638E+04, -2.541869902437065E+05, -2.470777912546791E+05,
2456385.250000000, A.D. 2013-Apr-02 18:00:00.0000, -1.783032421366472E+03, -2.596451401442702E+05, -2.416273577023416E+05,
2456385.291666667, A.D. 2013-Apr-02 19:00:00.0000, -1.556747576775538E+04, -2.645881295352737E+05, -2.356974968388590E+05,
2456385.333333333, A.D. 2013-Apr-02 20:00:00.0000, -2.932102668614154E+04, -2.690061505218947E+05, -2.292999739722046E+05,
2456385.375000000, A.D. 2013-Apr-02 21:00:00.0000, -4.301639661330014E+04, -2.728904367409559E+05, -2.224474823099989E+05,
2456385.416666667, A.D. 2013-Apr-02 22:00:00.0000, -5.662641238110050E+04, -2.762332807573578E+05, -2.151536177815628E+05,
2456385.458333333, A.D. 2013-Apr-02 23:00:00.0000, -7.012407012582938E+04, -2.790280493603983E+05, -2.074328520690942E+05,
2456385.500000000, A.D. 2013-Apr-03 00:00:00.0000, -8.348258886240922E+04, -2.812691967295755E+05, -1.993005039013678E+05,
2456385.541666667, A.D. 2013-Apr-03 01:00:00.0000, -9.667546361728474E+04, -2.829522754436919E+05, -1.907727086668021E+05,
2456385.583333333, A.D. 2013-Apr-03 02:00:00.0000, -1.096765180146124E+05, -2.840739453113388E+05, -1.818663864060736E+05,
2456385.625000000, A.D. 2013-Apr-03 03:00:00.0000, -1.224599562114588E+05, -2.846319800051561E+05, -1.725992082476739E+05,
2456385.666666667, A.D. 2013-Apr-03 04:00:00.0000, -1.350004140789878E+05, -2.846252714866091E+05, -1.629895613528962E+05,
2456385.708333333, A.D. 2013-Apr-03 05:00:00.0000, -1.472730095280992E+05, -2.840538322123991E+05, -1.530565124397045E+05,
2456385.750000000, A.D. 2013-Apr-03 06:00:00.0000, -1.592533918796634E+05, -2.829187951180225E+05, -1.428197699577595E+05,
2456385.791666667, A.D. 2013-Apr-03 07:00:00.0000, -1.709177901813734E+05, -2.812224113783970E+05, -1.322996449895621E+05,
2456385.833333333, A.D. 2013-Apr-03 08:00:00.0000, -1.822430603753180E+05, -2.789680459498826E+05, -1.215170109552127E+05,
2456385.875000000, A.D. 2013-Apr-03 09:00:00.0000, -1.932067312226393E+05, -2.761601709024265E+05, -1.104932622006650E+05,
2456385.916666667, A.D. 2013-Apr-03 10:00:00.0000, -2.037870488940938E+05, -2.728043565549468E+05, -9.925027155158450E+04,
2456385.958333333, A.D. 2013-Apr-03 11:00:00.0000, -2.139630201379744E+05, -2.689072604314308E+05, -8.781034691698002E+04,
2456386.000000000, A.D. 2013-Apr-03 12:00:00.0000, -2.237144539396581E+05, -2.644766140595546E+05, -7.619618702867976E+04,
2456386.041666667, A.D. 2013-Apr-03 13:00:00.0000, -2.330220015900299E+05, -2.595212076379141E+05, -6.443083640444864E+04,
2456386.083333333, A.D. 2013-Apr-03 14:00:00.0000, -2.418671950831820E+05, -2.540508726021966E+05, -5.253763962409703E+04,
2456386.125000000, A.D. 2013-Apr-03 15:00:00.0000, -2.502324837670946E+05, -2.480764621247987E+05, -4.054019500930922E+04,
2456386.166666667, A.D. 2013-Apr-03 16:00:00.0000, -2.581012691744600E+05, -2.416098295865027E+05, -2.846230779911765E+04,
2456386.208333333, A.D. 2013-Apr-03 17:00:00.0000, -2.654579379644193E+05, -2.346638050628617E+05, -1.632794291396329E+04,
2456386.250000000, A.D. 2013-Apr-03 18:00:00.0000, -2.722878929097133E+05, -2.272521698718860E+05, -4.161177402116348E+03,
2456386.291666667, A.D. 2013-Apr-03 19:00:00.0000, -2.785775818676188E+05, -2.193896292334829E+05,  8.013847337119712E+03,
2456386.333333333, A.D. 2013-Apr-03 20:00:00.0000, -2.843145246770222E+05, -2.110917830948524E+05,  2.017297345853732E+04,
2456386.375000000, A.D. 2013-Apr-03 21:00:00.0000, -2.894873379280731E+05, -2.023750951796885E+05,  3.229207460932337E+04,
2456386.416666667, A.D. 2013-Apr-03 22:00:00.0000, -2.940857575550527E+05, -1.932568603225626E+05,  4.434710380526950E+04,
2456386.458333333, A.D. 2013-Apr-03 23:00:00.0000, -2.981006592073625E+05, -1.837551701532675E+05,  5.631414114972803E+04,
2456386.500000000, A.D. 2013-Apr-04 00:00:00.0000, -3.015240763578953E+05, -1.738888771991749E+05,  6.816944130041414E+04,
2456386.541666667, A.D. 2013-Apr-04 01:00:00.0000, -3.043492161170870E+05, -1.636775574774043E+05,  7.988948059257487E+04,
2456386.583333333, A.D. 2013-Apr-04 02:00:00.0000, -3.065704727263287E+05, -1.531414716570166E+05,  9.145100372328560E+04,
2456386.625000000, A.D. 2013-Apr-04 03:00:00.0000, -3.081834386733827E+05, -1.423015248512654E+05,  1.028310698967585E+05,
2456386.666666667, A.D. 2013-Apr-04 04:00:00.0000, -3.091849134390031E+05, -1.311792251333569E+05,  1.140070983502378E+05,
2456386.708333333, A.D. 2013-Apr-04 05:00:00.0000, -3.095729098509311E+05, -1.197966408583051E+05,  1.249569131649322E+05,
2456386.750000000, A.D. 2013-Apr-04 06:00:00.0000, -3.093466580289628E+05, -1.081763568722110E+05,  1.356587872733758E+05,
2456386.791666667, A.D. 2013-Apr-04 07:00:00.0000, -3.085066069134841E+05, -9.634142969610520E+04,  1.460914855758319E+05,
2456386.833333333, A.D. 2013-Apr-04 08:00:00.0000, -3.070544233746103E+05, -8.431534177347482E+04,  1.562343070801286E+05,
2456386.875000000, A.D. 2013-Apr-04 09:00:00.0000, -3.049929889038382E+05, -7.212195487242888E+04,  1.660671259812588E+05,
2456386.916666667, A.D. 2013-Apr-04 10:00:00.0000, -3.023263938948893E+05, -5.978546273509732E+04,  1.755704315991882E+05,
2456386.958333333, A.D. 2013-Apr-04 11:00:00.0000, -2.990599295251911E+05, -4.733034306833721E+04,  1.847253670955889E+05,
2456387.000000000, A.D. 2013-Apr-04 12:00:00.0000, -2.952000772541984E+05, -3.478130897110710E+04,  1.935137668926486E+05,
2456387.041666667, A.D. 2013-Apr-04 13:00:00.0000, -2.907544959594760E+05, -2.216325989497691E+04,  2.019181927196875E+05,
2456387.083333333, A.D. 2013-Apr-04 14:00:00.0000, -2.857320067361520E+05, -9.501232235151316E+03,  2.099219682160518E+05,
2456387.125000000, A.D. 2013-Apr-04 15:00:00.0000, -2.801425753899885E+05,  3.179650349888845E+03,  2.175092120216237E+05,
2456387.166666667, A.D. 2013-Apr-04 16:00:00.0000, -2.739972926588893E+05,  1.585422679149701E+04,  2.246648692892994E+05,
2456387.208333333, A.D. 2013-Apr-04 17:00:00.0000, -2.673083522021765E+05,  2.849734853776036E+04,  2.313747415569310E+05,
2456387.250000000, A.D. 2013-Apr-04 18:00:00.0000, -2.600890264013935E+05,  4.108392945508773E+04,  2.376255149194885E+05,
2456387.291666667, A.D. 2013-Apr-04 19:00:00.0000, -2.523536400207365E+05,  5.358899560544648E+04,  2.434047864455819E+05,
2456387.333333333, A.D. 2013-Apr-04 20:00:00.0000, -2.441175417794596E+05,  6.598773480046685E+04,  2.487010887859765E+05,
2456387.375000000, A.D. 2013-Apr-04 21:00:00.0000, -2.353970738927370E+05,  7.825554583408379E+04,  2.535039129253252E+05,
2456387.416666667, A.D. 2013-Apr-04 22:00:00.0000, -2.262095396414949E+05,  9.036808729603566E+04,  2.578037290320356E+05,
2456387.458333333, A.D. 2013-Apr-04 23:00:00.0000, -2.165731690356278E+05,  1.023013258693801E+05,  2.615920053649663E+05,
2456387.500000000, A.D. 2013-Apr-05 00:00:00.0000, -2.065070826387895E+05,  1.140315840162226E+05,  2.648612251995052E+05,
2456387.541666667, A.D. 2013-Apr-05 01:00:00.0000, -1.960312536265888E+05,  1.255355869570727E+05,  2.676049017395154E+05,
2456387.583333333, A.D. 2013-Apr-05 02:00:00.0000, -1.851664681535153E+05,  1.367905088506581E+05,  2.698175909856316E+05,
2456387.625000000, A.D. 2013-Apr-05 03:00:00.0000, -1.739342841072639E+05,  1.477740180826152E+05,  2.714949025344418E+05,
2456387.666666667, A.D. 2013-Apr-05 04:00:00.0000, -1.623569883323188E+05,  1.584643215732540E+05,  2.726335082871943E+05,
2456387.708333333, A.D. 2013-Apr-05 05:00:00.0000, -1.504575524076795E+05,  1.688402080165419E+05,  2.732311490508129E+05,
2456387.750000000, A.D. 2013-Apr-05 06:00:00.0000, -1.382595870664731E+05,  1.788810899645809E+05,  2.732866390181812E+05,
2456387.791666667, A.D. 2013-Apr-05 07:00:00.0000, -1.257872953478753E+05,  1.885670446741412E+05,  2.727998681188562E+05,
2456387.833333333, A.D. 2013-Apr-05 08:00:00.0000, -1.130654245742739E+05,  1.978788536342729E+05,  2.717718022355944E+05,
2456387.875000000, A.D. 2013-Apr-05 09:00:00.0000, -1.001192172489233E+05,  2.067980406966355E+05,  2.702044812862946E+05,
2456387.916666667, A.D. 2013-Apr-05 10:00:00.0000, -8.697436097147515E+04,  2.153069087329536E+05,  2.681010151751928E+05,
2456387.958333333, A.D. 2013-Apr-05 11:00:00.0000, -7.365693747071012E+04,  2.233885747469263E+05,  2.654655776213606E+05,
2456388.000000000, A.D. 2013-Apr-05 12:00:00.0000, -6.019337085553992E+04,  2.310270033709808E+05,  2.623033978767627E+05,
2456388.041666667, A.D. 2013-Apr-05 13:00:00.0000, -4.661037518689505E+04,  2.382070386814586E+05,  2.586207503503055E+05,
2456388.083333333, A.D. 2013-Apr-05 14:00:00.0000, -3.293490147445761E+04,  2.449144342691533E+05,  2.544249421584560E+05,
2456388.125000000, A.D. 2013-Apr-05 15:00:00.0000, -1.919408420333661E+04,  2.511358815055710E+05,  2.497242986271124E+05,
2456388.166666667, A.D. 2013-Apr-05 16:00:00.0000, -5.415187496715457E+03,  2.568590359488570E+05,  2.445281467734690E+05,
2456388.208333333, A.D. 2013-Apr-05 17:00:00.0000,  8.374448978775592E+03,  2.620725418370155E+05,  2.388467968006123E+05,
2456388.250000000, A.D. 2013-Apr-05 18:00:00.0000,  2.214746425769695E+04,  2.667660546198298E+05,  2.326915216415246E+05,
2456388.291666667, A.D. 2013-Apr-05 19:00:00.0000,  3.587653036287997E+04,  2.709302614847792E+05,  2.260745345930368E+05,
2456388.333333333, A.D. 2013-Apr-05 20:00:00.0000,  4.953440652729440E+04,  2.745568998362125E+05,  2.190089650840515E+05,
2456388.375000000, A.D. 2013-Apr-05 21:00:00.0000,  6.309399324316933E+04,  2.776387736910938E+05,  2.115088326260619E+05,
